Sample;Estimated;True;Error;Samples_Used
37;[13.74  55.992  3.7  ];[14.085 58.819  3.7  ];2.84797366560859;[97]
38;[ 45.764 146.54    3.7  ];[ 46.199 146.37    3.7  ];0.46703854230672603;[2709]
39;[29.218 79.468  0.   ];[29.184 79.702  0.   ];0.23645718428501475;[1852]
40;[ 57.734 105.07    7.4  ];[ 55.672 105.93    7.4  ];2.234153978578926;[1475]
41;[14.474 90.413  0.   ];[14.864 95.465  0.   ];5.067031083386016;[909]
42;[26.499 78.251  3.7  ];[23.891 76.902  3.7  ];2.936233131071171;[2764]
43;[ 28.403 125.46    3.7  ];[ 27.924 125.61    3.7  ];0.5019372470737761;[2239]
44;[ 42.144 110.22    7.4  ];[ 43.447 111.02    7.4  ];1.5289895356084053;[357]
45;[ 19.143 109.7     0.   ];[ 23.845 117.55    0.   ];9.150481080249273;[676]
46;[ 60.541 131.87    0.   ];[ 59.226 131.11    0.   ];1.5188235578894542;[2183]
47;[ 23.723 110.05    0.   ];[ 24.046 110.66    0.   ];0.6902383646248588;[2825]
48;[ 17.627 125.87    3.7  ];[ 17.549 125.5     3.7  ];0.3781322519965776;[2868]
49;[ 63.672 131.55    0.   ];[ 67.06 130.13   0.  ];3.6735465152901057;[2581]
50;[ 17.627 122.77    3.7  ];[ 17.438 121.04    3.7  ];1.7402933660736528;[250]
51;[ 44.962 140.21    0.   ];[ 44.605 140.36    0.   ];0.38723248830645174;[646]
52;[35.359 33.397  3.7  ];[35.214 33.045  3.7  ];0.3806954163107282;[2677]
53;[68.332 94.014  0.   ];[ 72.499 102.35    0.   ];9.319484159544453;[1899]
54;[33.92  82.295  0.   ];[33.954 82.588  0.   ];0.2949660997470647;[2499]
55;[ 60.609 103.88    7.4  ];[ 61.4  104.58   7.4 ];1.0562580177210485;[120]
56;[ 7.7114 20.051   0.    ];[ 8.1682 20.014   0.    ];0.4582960178749104;[776]
57;[ 8.7692 77.334   0.    ];[ 8.4461 73.376   0.    ];3.9711657746812823;[1844]
58;[ 47.938 121.45    0.   ];[ 47.514 121.63    0.   ];0.460625661464922;[2351]
59;[ 57.577 136.31    0.   ];[ 57.922 136.15    0.   ];0.3802959373961259;[2929]
60;[ 38.164 147.15    3.7  ];[ 38.353 147.57    3.7  ];0.4605659561886761;[794]
61;[43.304 22.174  0.   ];[43.037 22.302  0.   ];0.29609626812913675;[3032]
62;[63.106 72.768  0.   ];[63.485 72.603  0.   ];0.4133594077797194;[2613]
63;[ 44.773 129.34    0.   ];[ 50.456 125.08    0.   ];7.102400228091913;[1390]
64;[37.943 68.543  7.4  ];[37.977 69.103  7.4  ];0.56103119342866;[118]
65;[20.715 86.231  3.7  ];[20.771 86.743  3.7  ];0.5150533952902364;[2860]
66;[37.966 75.056  7.4  ];[36.662 70.677  7.4  ];4.569032392093529;[1621]
67;[17.996 59.342  0.   ];[17.729 56.888  0.   ];2.4684823272610243;[552]
68;[ 27.946 137.31    0.   ];[ 27.31 137.58   0.  ];0.6909384921973946;[1015]
69;[ 28.57 139.59   0.  ];[ 28.826 141.62    0.   ];2.046078199874092;[197]
70;[ 61.935 106.03    3.7  ];[ 61.11 106.38   3.7 ];0.8961724164467465;[948]
71;[ 61.232 136.28   11.1  ];[ 60.864 136.44   11.1  ];0.40127795852750303;[577]
72;[35.191 44.721  0.   ];[34.913 44.833  0.   ];0.29971319623934417;[2399]
73;[26.51  64.996  0.   ];[26.454 64.495  0.   ];0.50412002539077;[2460]
74;[ 51.125 133.94    0.   ];[ 50.812 134.09    0.   ];0.3470864445638913;[1957]
75;[35.525 63.791  0.   ];[33.141 64.036  0.   ];2.3965560706981184;[624]
76;[ 46.189 109.88    7.4  ];[ 46.634 109.69    7.4  ];0.48386465049639593;[1493]
77;[31.982 17.64   3.7  ];[32.105 18.968  3.7  ];1.3336839955551683;[2299]
78;[26.611 58.451  3.7  ];[27.391 57.843  3.7  ];0.9889711825933012;[659]
79;[ 13.505 103.15    0.   ];[ 24.838 103.59    0.   ];11.341538211371507;[1409]
80;[ 27.858 101.93    3.7  ];[ 27.546 101.99    3.7  ];0.3177168550769683;[2175]
81;[ 34.91 139.91   3.7 ];[ 35.122 140.38    3.7  ];0.5156006206357788;[3008]
82;[27.602 62.937  0.   ];[28.026 61.257  0.   ];1.7326788507972268;[2079]
83;[26.03  93.299  0.   ];[28.192 98.073  0.   ];5.240736589449986;[801]
84;[ 51.893 140.32    0.   ];[ 52.161 140.21    0.   ];0.28969639279769627;[690]
85;[53.79  75.606  0.   ];[49.689 78.545  0.   ];5.045386209201435;[1801]
86;[ 55.994 143.15   11.1  ];[ 54.991 143.6    11.1  ];1.0993220638193295;[2092]
87;[27.958 95.577  0.   ];[27.613 92.003  0.   ];3.59061290032774;[2021]
88;[24.537 93.768  3.7  ];[24.102 97.139  3.7  ];3.3989507204429965;[1569]
89;[17.238 96.537  0.   ];[16.748 96.579  0.   ];0.49179670596700564;[2990]
90;[26.075 93.779  0.   ];[25.952 92.344  0.   ];1.4402617817605263;[2768]
91;[38.156 23.123  0.   ];[39.638 22.51   0.   ];1.6037746100995605;[974]
92;[26.989 69.551  0.   ];[26.142 76.843  0.   ];7.341026699311209;[1655]
93;[ 34.164 135.82    0.   ];[ 34.955 135.48    0.   ];0.86097677088293;[662]
94;[21.663 57.358  3.7  ];[22.454 57.294  3.7  ];0.7935849040902937;[644]
95;[ 45.698 111.04    0.   ];[ 41.163 112.57    0.   ];4.786138840443306;[2357]
96;[14.797 94.595  0.   ];[14.831 95.006  0.   ];0.412403928206317;[2325]
97;[56.554 18.317  0.   ];[55.139 18.941  0.   ];1.5464801970927387;[1328]
98;[45.622 38.464  0.   ];[44.374 39.168  0.   ];1.4328712433432373;[2258]
99;[ 6.2175 69.498   0.    ];[ 6.5851 73.717   0.    ];4.234984151091943;[2172]
100;[ 23.935 110.45    0.   ];[ 24.213 111.47    0.   ];1.0572057510248385;[1021]
101;[ 30.03 127.35   0.  ];[ 30.13 127.59   0.  ];0.26000000000000756;[2111]
102;[ 53.064 130.87    0.   ];[ 53.298 130.76    0.   ];0.2585652722234829;[1588]
103;[ 41.675 120.3     7.4  ];[ 41.842 120.72    7.4  ];0.451983406775074;[2826]
104;[15.802 34.602  3.7  ];[15.768 34.277  3.7  ];0.32677362194644344;[1890]
105;[ 41.007 107.49    7.4  ];[ 41.118 107.76    7.4  ];0.291926360577469;[2784]
106;[41.856 14.781  0.   ];[41.287 13.575  0.   ];1.3334905323998392;[2723]
107;[30.589 15.106  0.   ];[32.239 14.375  0.   ];1.804677533522262;[566]
108;[ 4.5797 50.263   0.    ];[ 4.524 49.661  0.   ];0.6045713274709578;[3055]
109;[ 33.462 136.69    3.7  ];[ 33.049 135.79    3.7  ];0.9902368403568983;[1838]
110;[53.89  76.118 11.1  ];[56.531 74.971 11.1  ];2.8793211005374117;[1601]
111;[20.225 51.512  0.   ];[20.17  50.962  0.   ];0.5527431591616461;[1370]
112;[ 50.11 140.55   3.7 ];[ 49.609 139.51    3.7  ];1.1543833851888377;[2626]
113;[ 55.994 143.15   11.1  ];[ 54.802 143.7    11.1  ];1.312769591360183;[2092]
114;[ 46.242 162.87    0.   ];[ 46.911 164.42    0.   ];1.6882123681574994;[2950]
115;[38.4   75.174  7.4  ];[38.356 74.598  7.4  ];0.5776781110618685;[162]
116;[54.503 83.244  0.   ];[55.026 83.015  0.   ];0.5709378249862266;[2358]
117;[ 22.954 116.07    3.7  ];[ 23.355 116.99    3.7  ];1.0035940414330902;[2094]
118;[ 25.105 103.4     3.7  ];[ 25.049 102.78    3.7  ];0.6225238951237179;[1545]
119;[47.839 69.402  0.   ];[49.054 70.378  0.   ];1.5584610999315982;[702]
120;[ 21.728 112.26    0.   ];[ 22.542 112.14    0.   ];0.8227976665013101;[2657]
121;[ 40.929 112.21    7.4  ];[ 40.962 112.73    7.4  ];0.5210460632228313;[2439]
122;[ 63.684 104.13    0.   ];[ 62.325 103.95    0.   ];1.370868702684536;[2633]
123;[42.657 98.201 11.1  ];[41.81  97.945 11.1  ];0.8848417937688016;[1207]
124;[ 50.969 128.64    0.   ];[ 50.601 128.81    0.   ];0.4053689677318763;[1589]
125;[ 70.371 105.7     0.   ];[ 71.374 103.61    0.   ];2.3182124579080354;[449]
126;[ 6.2401 46.551   0.    ];[ 6.307 47.34   0.   ];0.7918311751882483;[757]
127;[43.148 38.208  0.   ];[43.482 38.054  0.   ];0.36779342027828105;[2686]
128;[ 50.567 145.15   11.1  ];[ 54.423 143.87   11.1  ];4.062897488246537;[2387]
129;[ 45.051 131.84    7.4  ];[ 44.728 131.05    7.4  ];0.8534805211602592;[3070]
130;[38.723 78.619 11.1  ];[38.779 79.217 11.1  ];0.600616350093801;[1506]
131;[58.437 75.659  3.7  ];[57.991 75.856  3.7  ];0.4875705077216973;[2348]
132;[71.229 99.417  0.   ];[70.772 98.361  0.   ];1.1506454710291911;[1981]
133;[29.429 96.451  0.   ];[29.384 95.955  0.   ];0.4980371472089155;[3105]
134;[ 7.0423 56.36    0.    ];[ 7.1315 57.459   0.    ];1.1026140031760925;[675]
135;[37.911 21.923  0.   ];[41.666 22.942  0.   ];3.890807885259817;[2750]
136;[24.126 32.65   0.   ];[23.78  27.039  0.   ];5.621657851559446;[913]
137;[37.999 56.264  3.7  ];[36.785 57.24   3.7  ];1.5576816105995512;[2961]
138;[ 62.224 111.31    0.   ];[ 63.294 110.83    0.   ];1.172731853408956;[2866]
139;[ 50.513 100.17    0.   ];[ 50.68 100.11   0.  ];0.17745140179779026;[1051]
140;[42.066 80.502 11.1  ];[41.676 80.673 11.1  ];0.4258415198169416;[2374]
141;[35.402 79.11   0.   ];[34.946 79.126  0.   ];0.45628061541117765;[3016]
142;[ 58.202 105.7     0.   ];[ 58.001 106.57    0.   ];0.8929171294134655;[2949]
143;[ 18.807 148.41    0.   ];[ 19.064 148.97    0.   ];0.6161566359295364;[570]
144;[ 40.717 101.31   11.1  ];[ 42.055 100.59   11.1  ];1.5194222586233233;[1286]
145;[36.896 42.721  0.   ];[33.665 34.912  0.   ];8.451026091546515;[857]
146;[49.733 76.619  7.4  ];[49.276 76.817  7.4  ];0.4980491943573361;[1591]
147;[38.211 76.064  0.   ];[38.166 75.387  0.   ];0.6784939203854299;[3077]
148;[ 18.986 142.86    0.   ];[ 22.251 141.42    0.   ];3.568448542434104;[1960]
149;[66.059 63.204  0.   ];[66.538 64.255  0.   ];1.1550073592839087;[1699]
150;[ 15.221 100.17    0.   ];[ 15.8  102.88   0.  ];2.771162391488447;[2097]
151;[36.439 53.122  3.7  ];[36.384 52.488  3.7  ];0.6363811750829846;[401]
152;[45.911 79.057  7.4  ];[46.323 78.886  7.4  ];0.4460773475530913;[192]
153;[44.017 71.946  7.4  ];[42.156 72.731  7.4  ];2.01978860279981;[1819]
154;[ 41.007 107.49    7.4  ];[ 40.751 106.86    7.4  ];0.6800264700730365;[2784]
155;[20.415 57.459  3.7  ];[19.98  57.496  3.7  ];0.43657072737415503;[2849]
156;[ 9.8498 90.595   0.    ];[ 9.7496 89.298   0.    ];1.3008647277868643;[105]
157;[22.9   18.755  0.   ];[15.891 19.352  0.   ];7.03437914815515;[2380]
158;[38.211 76.064  0.   ];[38.244 76.379  0.   ];0.31672385448527174;[3077]
159;[35.325 38.907  0.   ];[35.381 39.456  0.   ];0.5518487111518944;[1236]
160;[46.178 89.138  0.   ];[46.022 88.776  0.   ];0.39418269875782996;[2242]
161;[ 41.252 116.96    7.4  ];[ 41.308 117.73    7.4  ];0.7720336780218953;[2604]
162;[ 24.927 101.89    3.7  ];[ 24.938 102.03    3.7  ];0.1404314779527729;[3061]
163;[ 41.318 145.5     0.   ];[ 41.529 145.94    0.   ];0.48797643385721035;[1832]
164;[ 57.734 105.07    7.4  ];[ 57.344 105.24    7.4  ];0.4254409477236542;[1475]
165;[10.552 99.113  0.   ];[10.507 98.51   0.   ];0.6046767731606641;[1296]
166;[ 61.233 107.44    3.7  ];[ 60.843 107.61    3.7  ];0.42544094772364766;[1978]
167;[ 25.506 122.51    3.7  ];[ 23.611 122.64    3.7  ];1.899453868879157;[2760]
168;[34.857 20.291  0.   ];[36.395 21.     0.   ];1.693553955443998;[805]
169;[ 14.852 125.59    0.   ];[ 14.797 125.14    0.   ];0.4533486517019793;[181]
170;[19.791 56.392  0.   ];[27.313 58.75   0.   ];7.882933971561601;[3054]
171;[ 24.313 118.97    3.7  ];[ 24.113 119.27    3.7  ];0.3605551275463962;[160]
172;[13.094 22.585  0.   ];[12.459 22.627  0.   ];0.636387460592994;[1585]
173;[46.346 39.467  0.   ];[45.555 39.808  0.   ];0.861372161147547;[2384]
174;[46.402 65.407  0.   ];[46.624 65.892  0.   ];0.5333938507332082;[1454]
175;[39.247 87.671  7.4  ];[39.626 93.112  7.4  ];5.454183898623136;[1400]
176;[38.278 73.584 11.1  ];[39.626 75.248 11.1  ];2.1414948050368934;[2176]
177;[ 45.342 118.04    0.   ];[ 44.94 118.22   0.  ];0.44045885165358883;[2619]
178;[ 49.899 130.9     0.   ];[ 50.189 130.77    0.   ];0.3178049716414114;[2124]
179;[34.255 85.362  0.   ];[35.993 81.932  0.   ];3.8451975241851946;[2013]
180;[ 29.618 102.49    0.   ];[ 30.81 109.63   0.  ];7.238816477850506;[2386]
181;[53.4   76.689  3.7  ];[54.28 76.31  3.7 ];0.9581445611179962;[2885]
182;[ 66.759 126.77    0.   ];[ 66.28 126.97   0.  ];0.5190770655692662;[1094]
183;[ 38.901 103.83    7.4  ];[ 38.868 103.21    7.4  ];0.6208776046855013;[1623]
184;[37.732 68.613  3.7  ];[37.899 70.485  3.7  ];1.879434223376812;[2791]
185;[ 36.794 131.07    0.   ];[ 37.262 130.87    0.   ];0.5089440047785205;[2422]
186;[26.253 95.705  0.   ];[26.298 96.153  0.   ];0.4502543725495695;[270]
187;[ 41.351 147.76    0.   ];[ 40.727 141.73    0.   ];6.06220059054466;[663]
188;[ 25.673 113.32    0.   ];[ 25.941 113.27    0.   ];0.27262428358457;[2275]
189;[39.258 85.1    3.7  ];[39.737 83.778  3.7  ];1.4061027700705127;[135]
190;[ 55.771 138.62   11.1  ];[ 55.036 138.93   11.1  ];0.7976998182273835;[1791]
191;[28.884 74.213  0.   ];[32.728 73.392  0.   ];3.9306967575736502;[277]
192;[ 48.472 135.18    0.   ];[ 48.171 135.32    0.   ];0.3319653596386185;[2762]
193;[68.332 94.014  0.   ];[ 71.819 100.77    0.   ];7.602809020355573;[1899]
194;[ 23.578 111.98    0.   ];[ 10.663 110.46    0.   ];13.004138764255018;[2962]
195;[ 50.668 110.88    3.7  ];[ 50.278 111.05    3.7  ];0.4254409477236542;[45]
196;[ 47.19 145.28   0.  ];[ 47.001 148.33    0.   ];3.055850290835608;[101]
197;[58.437 75.659  3.7  ];[55.004 77.147  3.7  ];3.741608344014643;[2348]
198;[ 14.228 120.33    0.   ];[ 14.384 121.66    0.   ];1.3391176199273893;[141]
199;[ 17.917 124.9     3.7  ];[ 17.928 125.24    3.7  ];0.34017789463748616;[1534]
200;[19.301 26.537  0.   ];[22.031 24.532  0.   ];3.3871706481959243;[1835]
201;[47.883 78.241  7.4  ];[48.262 78.086  7.4  ];0.4094703896498484;[2414]
202;[ 70.371 105.7     0.   ];[ 71.095 103.74    0.   ];2.0894439451681963;[449]
203;[38.245 13.053  0.   ];[35.693 16.04   0.   ];3.9287240931376166;[982]
204;[47.672 79.142  3.7  ];[46.368 79.697  3.7  ];1.4171947643143459;[1818]
205;[ 74.281 131.24    0.   ];[ 74.069 130.72    0.   ];0.5615549839508257;[1674]
206;[24.927 79.718  3.7  ];[25.217 79.686  3.7  ];0.2917601754866474;[2435]
207;[ 72.087 101.4     0.   ];[ 72.232 101.72    0.   ];0.3513189434118156;[1522]
208;[37.03  62.937  3.7  ];[37.242 63.375  3.7  ];0.48660867234359945;[2377]
209;[27.178 87.378  0.   ];[27.234 87.927  0.   ];0.5518487111518947;[423]
210;[58.314 81.548  0.   ];[60.654 80.508  0.   ];2.560703028466993;[310]
211;[ 46.333 126.15   11.1  ];[ 45.609 124.55   11.1  ];1.7561822228914694;[2758]
212;[ 22.843 114.54    0.   ];[ 16.814 109.91    0.   ];7.601693298206663;[1232]
213;[16.904 62.884  3.7  ];[21.908 65.119  3.7  ];5.480441679280969;[2788]
214;[43.126 37.429  0.   ];[42.357 37.814  0.   ];0.8599918604265949;[202]
215;[36.885 36.389  0.   ];[36.986 36.64   0.   ];0.27055868125047966;[2861]
216;[ 44.294 118.63   11.1  ];[ 43.325 114.38   11.1  ];4.359066528512726;[1277]
217;[ 26.308 131.02    0.   ];[ 26.831 130.77    0.   ];0.5796800841843712;[1440]
218;[ 53.052 142.77   11.1  ];[ 53.375 143.88   11.1  ];1.1560402242136592;[1909]
219;[ 23.133 107.75    0.   ];[ 23.946 107.65    0.   ];0.8191269742842088;[1910]
220;[ 34.287 125.12    0.   ];[ 33.852 125.31    0.   ];0.47468410548490153;[1204]
221;[ 50.109 171.84    0.   ];[ 49.897 171.35    0.   ];0.5338951207868549;[1154]
222;[20.515 64.308  3.7  ];[20.403 63.129  3.7  ];1.1843078147171122;[124]
223;[ 37.741 139.97    0.   ];[ 39.078 140.7     0.   ];1.5233085701853035;[1206]
224;[38.768 82.945  0.   ];[39.793 81.543  0.   ];1.7367293974594775;[1324]
225;[ 43.101 145.43    3.7  ];[ 42.655 145.62    3.7  ];0.48478448820068215;[1787]
226;[37.075 39.92   3.7  ];[37.164 40.139  3.7  ];0.23639373934180297;[506]
227;[ 51.793 140.32   11.1  ];[ 52.228 139.48   11.1  ];0.9459519015256578;[2897]
228;[ 39.948 122.65    0.   ];[ 40.382 122.46    0.   ];0.47376787565220413;[2169]
229;[ 47.581 138.08    7.4  ];[ 46.578 135.61    7.4  ];2.665878654402708;[1217]
230;[10.307 96.126  0.   ];[ 9.3485 84.45    0.    ];11.715276277151984;[2830]
231;[38.3   69.589  3.7  ];[37.286 75.67   3.7  ];6.164962043678779;[85]
232;[21.741 50.695  0.   ];[21.841 51.901  0.   ];1.2101388350102675;[391]
233;[ 66.614 133.97    7.4  ];[ 64.909 134.69    7.4  ];1.850790371706097;[2850]
234;[ 40.918 103.59   11.1  ];[ 40.963 104.15   11.1  ];0.5618051263561082;[2142]
235;[ 43.614 112.76    0.   ];[ 42.723 112.31    0.   ];0.998188859885743;[1121]
236;[ 59.906 137.22    0.   ];[ 60.24 137.07   0.  ];0.3661365865356859;[1414]
237;[38.891 58.59  11.1  ];[38.724 58.099 11.1  ];0.5186231772684357;[2466]
238;[29.685 98.836  0.   ];[ 31.323 105.1     0.   ];6.474622768934106;[2359]
239;[17.819 28.121  3.7  ];[17.863 28.58   3.7  ];0.4611041097192691;[319]
240;[ 38.655 120.98    0.   ];[ 36.482 121.94    0.   ];2.3756112897525967;[774]
241;[30.109 93.123  0.   ];[ 27.345 108.66    0.   ];15.780939927646887;[797]
242;[34.144 40.262  0.   ];[38.679 43.324  0.   ];5.47193466700764;[1029]
243;[24.126 32.65   0.   ];[18.833 30.175  0.   ];5.843070596869426;[913]
244;[ 45.609 113.06    3.7  ];[ 45.275 113.21    3.7  ];0.3661365865356801;[157]
245;[51.918 20.366  0.   ];[65.547 46.183  0.   ];29.19361454153973;[1914]
246;[ 31.389 127.65    3.7  ];[ 31.813 128.66    3.7  ];1.0953885155505243;[1554]
247;[ 50.333 145.46    0.   ];[ 49.486 145.82    0.   ];0.9203309187460734;[2217]
248;[ 39.924 151.06    3.7  ];[ 40.526 152.39    3.7  ];1.4598986266176026;[2937]
249;[ 22.843 114.38    3.7  ];[ 22.843 114.24    3.7  ];0.14000000000000057;[973]
250;[37.966 75.056  7.4  ];[36.695 71.109  7.4  ];4.146594988662387;[1621]
251;[67.786 75.59   0.   ];[67.307 73.957  0.   ];1.7018019861311806;[2425]
252;[42.724 57.091  0.   ];[42.903 57.496  0.   ];0.4427934055516203;[1507]
253;[ 22.386 110.29    3.7  ];[ 22.475 109.61    3.7  ];0.6857995333915077;[2564]
254;[22.877 81.937  0.   ];[22.988 83.239  0.   ];1.306723000486338;[1169]
255;[ 31.824 131.42    0.   ];[ 38.688 132.7     0.   ];6.982327405672124;[1398]
256;[ 27.423 118.96    0.   ];[ 26.754 117.52    0.   ];1.5878164251575146;[1253]
257;[ 42.466 137.99    0.   ];[ 42.276 138.07    0.   ];0.20615528128087476;[1041]
258;[41.499 20.424  0.   ];[41.22  20.542  0.   ];0.30292738403782915;[1576]
259;[ 17.626 145.84    0.   ];[ 17.481 145.51    0.   ];0.3604511062543825;[1060]
260;[ 51.637 139.3     7.4  ];[ 53.353 138.59    7.4  ];1.857082658365;[1316]
261;[29.52  17.549  0.   ];[29.33  16.802  0.   ];0.7707846651302815;[1083]
262;[ 41.899 101.15    3.7  ];[ 41.754 100.8     3.7  ];0.3788469347903014;[1928]
263;[43.872 69.984  7.4  ];[43.192 70.282  7.4  ];0.7424311415882289;[57]
264;[ 20.157 121.18    3.7  ];[ 23.143 120.97    3.7  ];2.993375352340566;[2066]
265;[ 29.886 108.34    0.   ];[ 29.239 108.42    0.   ];0.6519271431686195;[1482]
266;[54.682 19.144  0.   ];[54.203 19.352  0.   ];0.5222116429188457;[1340]
267;[ 29.017 103.86    0.   ];[ 28.693 103.91    0.   ];0.32783532451521824;[589]
268;[ 22.319 104.      3.7  ];[ 22.275 103.46    3.7  ];0.5417896270694067;[1100]
269;[42.636 16.877  0.   ];[33.788 15.053  0.   ];9.034051139992517;[886]
270;[ 52.329 110.17    3.7  ];[ 51.527 110.51    3.7  ];0.871093565582941;[2763]
271;[ 41.998 121.13    7.4  ];[ 42.355 122.02    7.4  ];0.9589311758411031;[2166]
272;[34.244 39.147  0.   ];[34.467 43.857  0.   ];4.71527613189302;[2300]
273;[ 65.578 132.72    0.   ];[ 65.901 132.58    0.   ];0.3520355095725314;[1943]
274;[36.15  34.533  0.   ];[36.25 34.81  0.  ];0.29449787775126807;[1895]
275;[17.941 29.53   3.7  ];[17.986 30.015  3.7  ];0.48708315511830175;[1312]
276;[15.679 33.381  3.7  ];[18.387 34.597  3.7  ];2.968487830529208;[2511]
277;[17.996 59.342  0.   ];[17.93  58.638  0.   ];0.7070869819194812;[552]
278;[37.409 19.171  0.   ];[39.125 19.806  0.   ];1.8297215635172488;[3049]
279;[62.014 74.107  3.7  ];[62.459 73.909  3.7  ];0.4870615977471408;[280]
280;[ 5.6719 39.579   0.    ];[ 5.5828 38.496   0.    ];1.0866590127542295;[2307]
281;[16.381 29.626  3.7  ];[16.615 32.634  3.7  ];3.017088000042424;[485]
282;[ 26.699 100.43    0.   ];[ 28.393 100.26    0.   ];1.702508737128828;[591]
283;[ 16.279 104.52    0.   ];[ 16.758 104.47    0.   ];0.48160253321592794;[139]
284;[ 42.432 150.27    0.   ];[ 39.468 142.31    0.   ];8.493932893542315;[2260]
285;[27.958 95.577  0.   ];[27.902 95.075  0.   ];0.5051138485529723;[2021]
286;[ 25.071 131.48    0.   ];[ 24.168 131.9     0.   ];0.9958960789158764;[2131]
287;[23.491 25.166  0.   ];[23.546 25.497  0.   ];0.33553837336435854;[1664]
288;[40.239 79.228  7.4  ];[40.395 79.51   7.4  ];0.32227317604791106;[2824]
289;[ 31.088 150.48    0.   ];[ 30.263 150.82    0.   ];0.8923144064734141;[115]
290;[37.175 54.579  3.7  ];[37.431 55.096  3.7  ];0.5769098716437394;[1949]
291;[ 48.429 100.99    0.   ];[ 48.239 101.07    0.   ];0.2061552812808868;[901]
292;[36.238 74.011  0.   ];[33.04  75.723  0.   ];3.6274161602992305;[2177]
293;[ 24.86 100.57   3.7 ];[ 24.871 100.75    3.7  ];0.1803357978882796;[2272]
294;[ 24.313 118.97    3.7  ];[ 24.514 118.69    3.7  ];0.3446752094363632;[160]
295;[ 37.741 139.97    0.   ];[ 37.406 143.86    0.   ];3.9043981610486544;[1206]
296;[ 47.514 143.87   11.1  ];[ 47.079 144.06   11.1  ];0.47468410548490153;[3100]
297;[29.685 98.836  0.   ];[29.63  98.366  0.   ];0.4732071428032325;[2359]
298;[ 27.656 130.29    0.   ];[ 29.027 132.66    0.   ];2.7379811905855065;[1951]
299;[29.73  99.353  0.   ];[29.786 99.844  0.   ];0.49418316442388016;[1240]
